upgrade,const,display_name,description,type,faction_restriction,doctrine_restriction,unlock_restriction,man,mun,fuel,pop,uses,slots,unitwide_slots,max,model_count,add_model_count,unit
medpack_kch,AXIS.KCH_MEDPACK,Medpack,Self-healing kits,consumable,wehrmacht,,,0,20,0,0,2,0,0,1,,,kch
axis_smoke_grenade,AXIS.SMOKE_GRENADE,Smoke Grenades,Grenade that provides smoke cover,consumable,wehrmacht,,,0,10,0,0,2,0,0,1,,,volksgrenadiers
axis_smoke_grenade,AXIS.SMOKE_GRENADE,Smoke Grenades,Grenade that provides smoke cover,consumable,wehrmacht,,,0,10,0,0,2,0,0,1,,,grenadiers
axis_smoke_grenade,AXIS.SMOKE_GRENADE,Smoke Grenades,Grenade that provides smoke cover,consumable,wehrmacht,,,0,10,0,0,2,0,0,1,,,kch
axis_smoke_grenade,AXIS.SMOKE_GRENADE,Smoke Grenades,Grenade that provides smoke cover,consumable,wehrmacht,,,0,10,0,0,2,0,0,1,,,pioneers
axis_grenade,AXIS.GRENADE,Grenades,Stick hand grenade,consumable,wehrmacht,,,0,30,0,0,2,0,0,1,,,grenadiers
axis_grenade,AXIS.GRENADE,Grenades,Stick hand grenade,consumable,,defensive,surplus_munitions,0,30,0,0,2,0,0,1,,,volksgrenadiers
axis_grenade,AXIS.GRENADE,Grenades,Stick hand grenade,consumable,,defensive,surplus_munitions,0,30,0,0,2,0,0,1,,,pioneers
axis_panzerschreck,AXIS.SCHRECK,Panzerschreck,A single Panzerschreck,single_weapon,wehrmacht,,,0,110,0,0,0,1,0,2,,,grenadiers
axis_panzerschreck,AXIS.SCHRECK,Panzerschreck,A single Panzerschreck,single_weapon,,defensive,leadership,0,110,0,0,0,1,0,1,,,officer_def
lmg42,AXIS.LMG,LMG42,A single light MG42,single_weapon,wehrmacht,,,0,70,0,0,0,1,0,2,,,grenadiers
lmg42,AXIS.LMG,LMG42,A single light MG42,single_weapon,,defensive,,0,70,0,0,0,1,0,1,,,fortress_pioneers
lmg42,AXIS.LMG,LMG42,A single light MG42,single_weapon,,defensive,leadership,0,70,0,0,0,1,0,1,,,officer_def
lmg42,AXIS.LMG,LMG42,A single light MG42,single_weapon,,defensive,leadership,0,70,0,0,0,1,0,1,,,medic
assault_grenades,AXIS.ASSAULT_NADES,Assault Grenades,"Grants the Assault ability. When activated, approach the target squad and throw a series of grenade",ability,wehrmacht,,,0,50,0,0,0,0,0,1,,,kch
axis_timed_demo,ALLY.DEMOLITIONS,Timed Demolition Charges,Powerful explosives that must be placed and explode on a timer,consumable,wehrmacht,,,0,30,0,0,2,0,0,1,,,pioneers
axis_flamethrower,AXIS.FLAMETHROWER,Flamethrower,A single anti-infantry flamethrower,single_weapon,wehrmacht,,,0,50,0,0,0,4,0,1,,,pioneers
axis_mine_detector,AXIS.MINEDETECTOR,Mine Detector,Hand-held mine detector,single_weapon,wehrmacht,,,0,10,0,0,0,0,0,1,,,pioneers
axis_goliath,AXIS.GOLIATH,Goliath,Deploy a remote controlled explosive Goliath,consumable,wehrmacht,,,0,100,0,0,1,5,0,1,,,pioneers
bunker,AXIS.BUNKER,Bunker,"Bunker emplacement, can be garrisoned by infantry",building,wehrmacht,,,0,30,0,0,1,1,0,,,,pioneers
bunker,AXIS.BUNKER,Bunker,"Bunker emplacement, can be garrisoned by infantry",building,,defensive,,0,30,0,0,1,1,0,,,,fortress_pioneers
mg_bunker,AXIS.MG42_BUNKER,MG42 Bunker,"MG42 bunker emplacement, can be garrisoned by infantry",building,wehrmacht,,,0,55,0,0,1,2,0,,,,pioneers
mg_bunker,AXIS.MG42_BUNKER,MG42 Bunker,"MG42 bunker emplacement, can be garrisoned by infantry",building,,defensive,,0,55,0,0,1,2,0,,,,fortress_pioneers
repair_bunker,AXIS.REPAIR_BUNKER,Repair Bunker,"Vehicle repair bunker, can be garrisoned by infantry",building,wehrmacht,,,0,140,0,0,1,1,0,,,,pioneers
repair_bunker,AXIS.REPAIR_BUNKER,Repair Bunker,"Vehicle repair bunker, can be garrisoned by infantry",building,,defensive,,0,140,0,0,1,1,0,,,,fortress_pioneers
medic_bunker,AXIS.MEDIC_BUNKER,Medic Bunker,"Bunker that spawns medics to collect injured soldiers. Can be garrisoned by infantry",building,wehrmacht,,,0,60,0,0,1,1,0,,,,pioneers
medic_bunker,AXIS.MEDIC_BUNKER,Medic Bunker,"Bunker that spawns medics to collect injured soldiers. Can be garrisoned by infantry",building,,defensive,,0,60,0,0,1,1,0,,,,fortress_pioneers
axis_mines,AXIS.MINES,Mines,Camouflaged explosives that detonate on enemy contact.,consumable,wehrmacht,,,0,35,0,0,2,0,0,1,,,pioneers
mortar_bunker,AXIS.MORTAR_BUNKER,Mortar Bunker,"Mortar-equipped bunker, can be garrisoned by infantry",building,,defensive,,400,100,0,0,1,2,0,,,,pioneers
mortar_bunker,AXIS.MORTAR_BUNKER,Mortar Bunker,"Mortar-equipped bunker, can be garrisoned by infantry",building,,defensive,,400,100,0,0,1,2,0,,,,fortress_pioneers
pantherturm,AXIS.PANTHERTURM,Pantherturm,"Bunker with a Panther turret, can be garrisoned by infantry",building,,defensive,,0,40,175,0,1,2,0,,,,pioneers
pantherturm,AXIS.PANTHERTURM,Pantherturm,"Bunker with a Panther turret, can be garrisoned by infantry",building,,defensive,,0,40,175,0,1,2,0,,,,fortress_pioneers
listening_post,AXIS.LISTENING_POST,Listening Post,"Building that can hold territory and provide line of sight",building,,defensive,,0,40,0,0,1,1,0,,,,pioneers
listening_post,AXIS.LISTENING_POST,Listening Post,"Building that can hold territory and provide line of sight",building,,defensive,,0,40,0,0,1,1,0,,,,fortress_pioneers
puma_upgun,AXIS.PUMA_UPGUN,50mm Upgun,"Replace the Puma main gun with a 50mm cannon, granting increased anti-tank performance",passive,wehrmacht,,,0,0,10,0,0,0,0,1,,,puma
stug_mg42,AXIS.STUG_MG42,MG42 Gunner,Top-mounted MG42,single_weapon,wehrmacht,,,0,45,0,0,0,0,0,1,,,stug
stug_skirts,AXIS.STUG_SKIRTS,Sideskirts,Additional side armor that reduces damage and penetration of anti-tank weapons,passive,wehrmacht,,,0,0,70,0,0,0,0,1,,,stug
p4_mg42,AXIS.P4_MG42,MG42 Gunner,Top-mounted MG42,single_weapon,wehrmacht,,,0,45,0,0,0,0,0,1,,,p4
p4_skirts,AXIS.P4_SKIRTS,Sideskirts,Additional side armor that reduces damage and penetration of anti-tank weapons,passive,wehrmacht,,,0,0,100,0,0,0,0,1,,,p4
panther_mg42,AXIS.PANTHER_MG42,MG42 Gunner,Top-mounted MG42,single_weapon,wehrmacht,,,0,45,0,0,0,0,0,1,,,panther_axis
panther_skirts,AXIS.PANTHER_SKIRTS,Sideskirts,Additional side armor that reduces damage and penetration of anti-tank weapons,passive,wehrmacht,,,0,0,110,0,0,0,0,1,,,panther_axis
support_karbines,AXIS.SUPPORT_KARBINES,Karbines,Equip the squad with Grenadier Rifles,squad_weapon,,defensive,karbines,0,5,0,0,0,3,0,1,,,pioneers
support_karbines,AXIS.SUPPORT_KARBINES,Karbines,Equip the squad with Grenadier Rifles,squad_weapon,,defensive,karbines,0,5,0,0,0,0,0,1,,,mg42
support_karbines,AXIS.SUPPORT_KARBINES,Karbines,Equip the squad with Grenadier Rifles,squad_weapon,,defensive,karbines,0,5,0,0,0,0,0,1,,,mortar_axis
charismatic_leaders,CMW.HEROIC_CHARGE,Charismatic Leader,Grant Lt aura bonuses in exchange for -35% maximum hitpoints,passive,,defensive,charismatic_leaders,0,60,0,0,0,0,0,1,,,officer_def
