da_id,internal_name,const,tree,branch,tier,description,vp
191,Tier 3 alpha,OMGDOCUPG.ALLY.ARMOUR.TR2.B1.T3,2,1,3,,1000
23,A Tool For Every Job,OMGDOCUPG.ALLY.ARMOUR.TR2.B2.T1,2,2,1,"All Sherman variants may now purchase either the Mine flail or Bulldozer. Bulldozers and Mine flails reduce speed by 25% instead of 50%. In addition, Mine fails give 10% more hitpoints.",3
118,Next Generation Vehicles,OMGDOCUPG.ALLY.ARMOUR.TR2.B2.T2,2,2,2,"Increases acceleration, deceleration, and turret rotation on all tanks except the 105 and E8 by 25%.",6
192,Tier 3 alpha,OMGDOCUPG.ALLY.ARMOUR.TR2.B2.T3,2,2,3,,1000
26,Quadruple Bypass,OMGDOCUPG.ALLY.ARMOUR.TR3.B2.T1,3,2,1,Quad 50. Cal Halftracks may now use AP Rounds.,3
119,Take and Hold,OMGDOCUPG.ALLY.ARMOUR.TR3.B1.T2,3,2,2,All nontank vehicles except jeeps may now capture territory.,5
193,Tier 3 alpha,OMGDOCUPG.ALLY.ARMOUR.TR3.B1.T3,3,2,3,,1000
27,Field Mechanics,OMGDOCUPG.ALLY.ARMOUR.TR3.B3.T1,3,3,1,All Engineers can now repair 30% faster.,6
120,Vehicular Repair Manuals,OMGDOCUPG.ALLY.ARMOUR.TR3.B2.T2,3,3,2,Vehicles and tanks may purchase self repair kits.,6
194,Tier 3 alpha,OMGDOCUPG.ALLY.ARMOUR.TR3.B2.T3,3,3,3,,1000
10,Second Wind,OMGDOCUPG.ALLY.INFANTRY.TR1.B1.T1,1,1,1,Fire-up and Sprint cooldowns reduced by 30 seconds.,3
133,Here to Clean Up This Mess,OMGDOCUPG.ALLY.INFANTRY.TR1.B1.T2,1,1,2,"Rangers are no longer purchased with bazookas. May purchase 2 Bazookas, 4 Thompsons, and/or 2 BARs.",5
207,Rangers Lead the Way,OMGDOCUPG.ALLY.INFANTRY.TR1.B1.T3,1,1,3,Rifleman can replace their squad leader with a Ranger for 20mp. Those squads also recover from suppression 20% faster.,4
11,Reinforced Structures,OMGDOCUPG.ALLY.INFANTRY.TR1.B2.T1,1,2,1,"Medic Tents, Triage Centers, and Machine Gun Nests have 25% more hit points.",2
134,Purple Heart Soldiers,OMGDOCUPG.ALLY.INFANTRY.TR1.B2.T2,1,2,2,"Riflemen equipped with BARs receive 0.85 received damage at 5 men, an additional 0.85 received damage at 3 men, and an additional 0.85 damage at 2 men.",4
208,Machine Guns as Primary Weapon,OMGDOCUPG.ALLY.INFANTRY.TR1.B2.T3,1,2,3,"Shermans receive +20% reload time, but in return hull/coaxial machine guns receive +25% increased damage, firerate and burst duration, -25% cooldown, and +15 range. Turret MGs receive +5 range, +20% burst duration and firerate, -20% cooldown.",3
13,Setting up the Field,OMGDOCUPG.ALLY.INFANTRY.TR2.B1.T1,2,1,1,Riflemen and Ambush Riflemen can build Barbed Wire and Sandbags.,3
135,Mk. 3 Potato Grenade,OMGDOCUPG.ALLY.INFANTRY.TR2.B1.T2,2,1,2,Potato Grenade ability is now given to squads who purchase grenades. Throws a fake grenade at target.,1
209,Tier 3 alpha,OMGDOCUPG.ALLY.INFANTRY.TR2.B1.T3,2,1,3,,1000
14,HVAP Shells,OMGDOCUPG.ALLY.INFANTRY.TR2.B2.T1,2,2,1,57mm Anti-tank Guns AP Rounds replaced with Advanced Anti-tank Gun AP Rounds.  Providing an additional +25% damage and 5 second ability duration.,2
136,Smoke Will Block Out the Sky,OMGDOCUPG.ALLY.INFANTRY.TR2.B2.T2,2,2,2,"Smoke Barrage is available for purchase. 13 Smoke Shells are dropped in the designated area over time. Recharging cooldown, 90 mu.",2
210,Tier 3 alpha,OMGDOCUPG.ALLY.INFANTRY.TR2.B2.T3,2,2,3,,1000
16,Got a Light?,OMGDOCUPG.ALLY.INFANTRY.TR3.B1.T1,3,1,1,60mm Mortars now have M83 Flare Rounds. Lights up an area for 15 seconds.,2
137,Long Tom Support,OMGDOCUPG.ALLY.INFANTRY.TR3.B1.T2,3,1,2,105 Howitzer Barrage is available for purchase. 120 mu per use.,3
211,Tier 3 alpha,OMGDOCUPG.ALLY.INFANTRY.TR3.B1.T3,3,1,3,,1000
17,Medical Emergency,OMGDOCUPG.ALLY.INFANTRY.TR3.B2.T1,3,2,1,Medic stations now provide 3 medics instead of 2.,2
138,Snare Traps,OMGDOCUPG.ALLY.INFANTRY.TR3.B2.T2,3,2,2,"Ambush Riflemen, Riflemen, and Engineers may purchase &quot;Snare Mines&quot; which slow enemy infantry.",4
212,Tier 3 alpha,OMGDOCUPG.ALLY.INFANTRY.TR3.B2.T3,3,2,3,,1000
55,Deterrents,OMGDOCUPG.AXIS.BLITZ.TR1.B1.T1,16,1,1,"Coaxial and Hull Machine Guns on Tanks and armored Vehicles gain +33% fire rate, 10% incremental accuracy and 2x search radius. All tank MGs gain +5 range.",1
109,Armored Advance,OMGDOCUPG.AXIS.BLITZ.TR1.B1.T2,16,1,2,Infantry within 25 unit range of tanks receive 25% less damage and 30% less suppression.,6
183,Reinforced Logistics,OMGDOCUPG.AXIS.BLITZ.TR1.B1.T3,16,1,3,Repair bunkers gain a 3rd repair pioneer.,4
110,Blitzkrieg!,OMGDOCUPG.AXIS.BLITZ.TR1.B2.T2,16,3,2,"Blitzkrieg available for purchase. Recharging cooldown, 150 mu.",4
184,Better than Walking,OMGDOCUPG.AXIS.BLITZ.TR1.B2.T3,16,3,3,"Infantry inside halftracks regenerates at KCH speed. Infantry unloading from halftracks gain +10% accuracy,damage and sprint for 15 seconds.",3
57,"Dynamic Cover ",OMGDOCUPG.AXIS.BLITZ.TR1.B3.T1,16,3,1,"All Tanks, Half-Tracks, and Armored Cars may now purchase Tank Smoke for 15 Munitions.",3
111,Personal Cloaking Devices,OMGDOCUPG.AXIS.BLITZ.TR2.B1.T2,17,2,2,Stormtroopers may now purchase Elite Armor instead of weapon upgrades.,3
185,Tier 3 alpha,OMGDOCUPG.AXIS.BLITZ.TR2.B1.T3,17,2,3,Regular Crits for Tiger,1000
59,Organized Platoons,OMGDOCUPG.AXIS.BLITZ.TR2.B2.T1,17,2,1,Platoons with only Volksgrenadiers or Grenadiers have 75% less deployment timer.,3
112,Medical Expertise,OMGDOCUPG.AXIS.BLITZ.TR2.B2.T2,17,3,2,Medpacks no longer slow squads. Walking Wounded move normally in neutral and enemy territory.,6
186,Shock Effect,OMGDOCUPG.AXIS.BLITZ.TR2.B2.T3,17,3,3,"After throwing a grenade, units gain sprint and +50% suppression for 3 seconds. Assault also gains +50% suppression.",2
60,Assault,OMGDOCUPG.AXIS.BLITZ.TR2.B3.T1,17,3,1,"Assault available for purchase on Volks, Stormtroopers, Grenadiers, and KCH.",2
61,Panzerkrieg,OMGDOCUPG.AXIS.BLITZ.TR3.B1.T1,18,1,1,"Half-tracks now have the Overdrive ability. All Vehicles and Armored Cars gain 15% additional line of sight, maneuverability, and speed.",2
113,Rush to the Front!,OMGDOCUPG.AXIS.BLITZ.TR3.B1.T2,18,1,2,All Armor moves 20% faster for 15 seconds upon entering the field. All infantry sprint for 15 seconds upon entering the field.,3
187,Tier 3 alpha,OMGDOCUPG.AXIS.BLITZ.TR3.B1.T3,18,1,3,,1000
114,Heavy Mortar Bombardment,OMGDOCUPG.AXIS.BLITZ.TR3.B2.T2,18,3,2,Heavy Mortar Bombardment barrage available for purchase. Lightly saturates an area with mortar shells for 45 seconds. 65 mu per use.,3
188,Tier 3 alpha,OMGDOCUPG.AXIS.BLITZ.TR3.B2.T3,18,3,3,,1000
63,Artillery Observation,OMGDOCUPG.AXIS.BLITZ.TR3.B3.T1,18,3,1,"Designate an area in the Fog of War for a flare to fired into. Flare makes a small area in the fog of war visible. Recharging cooldown, 60 mu.",3
73,Advanced Warning,OMGDOCUPG.AXIS.DEFENSIVE.TR1.B1.T1,10,1,1,"Grenadiers, Volksgrenadiers, Knight Cross Holders, and Pioneers now have +4 sight range.",5
121,Leadership,OMGDOCUPG.AXIS.DEFENSIVE.TR1.B1.T2,10,1,2,Officers may now supervise all infantry in an aura around them (+20% accuracy) but are immobile while doing so. Medics can purchase an LMG42 and Officer may also purchase an LMG42 or Panzershreck.,4
195,Charismatic Leaders,OMGDOCUPG.AXIS.DEFENSIVE.TR1.B1.T3,10,1,3,Officers can purchase an upgrade granting Lieutenant aura buffs in exchange for -35% maximum hitpoints on the officer.,5
74,Karbines,OMGDOCUPG.AXIS.DEFENSIVE.TR1.B2.T1,10,2,1,Grenadier Rifles may now be purchased for support weapons and Pioneers for 5 Munitions.,3
122,Surplus Munitions,OMGDOCUPG.AXIS.DEFENSIVE.TR1.B2.T2,10,2,2,Volksgrenadiers and Pioneers may purchase Grenades. Burst length increased by 10% on LMG42s and 25% on Volksgrenadier MP40s.,5
196,Effective Triage,OMGDOCUPG.AXIS.DEFENSIVE.TR1.B2.T3,10,2,3,Medic bunkers create Grenadier Walking Wounded instead of Volksgrenadier Walking Wounded.,4
76,Stuka Barrages,OMGDOCUPG.AXIS.DEFENSIVE.TR2.B1.T1,11,1,1,Walking Stukas now have Incendiary and Smoke Barrages.,2
123,Gun Crews,OMGDOCUPG.AXIS.DEFENSIVE.TR2.B1.T2,11,1,2,"MG42 Teams, and Mortars gain the Sprint ability. Pak38s and Nebelwerfers move faster.",6
197,Improved AT,OMGDOCUPG.AXIS.DEFENSIVE.TR2.B1.T3,11,1,3,"StuGs gain +5% range in friendly territory and benefit from For the Fatherland. Geschützwagens gain +5% range, -15% received damage during rapid fire.",3
77,Heavy Support,OMGDOCUPG.AXIS.DEFENSIVE.TR2.B2.T1,11,2,1,"Support weapons have +1 resupply. In addition, all support weapons have 15% more hitpoints on the weapon.",3
124,Rocket Artillery,OMGDOCUPG.AXIS.DEFENSIVE.TR2.B2.T2,11,2,2,Rocket Artillery barrages are available for purchase. 130 mu.,4
198,Tier 3 alpha,OMGDOCUPG.AXIS.DEFENSIVE.TR2.B2.T3,11,2,3,,1000
79,Registered Artillery,OMGDOCUPG.AXIS.DEFENSIVE.TR3.B1.T1,12,1,1,"Registered Artillery available for purchase, deploying defensive artillery barrages on allied bunkers. Recharging cooldown, 90 mu.",1
125,Stronghold,OMGDOCUPG.AXIS.DEFENSIVE.TR3.B1.T2,12,1,2,All Bunkers gain 30% more health. Garrisoned infantry slowly heal and gain +5% accuracy per minute. Caps at +15%,5
199,Scar Bunker Test,OMGDOCUPG.AXIS.DEFENSIVE.TR3.B1.T3,12,1,3,Under Development [Storm],1000
80,Entrenchment,OMGDOCUPG.AXIS.DEFENSIVE.TR3.B2.T1,12,2,1,"Sandbags, Barbed Wire, and Tank Traps build 25% faster and have 50% more health.",2
126,For the Fatherland,OMGDOCUPG.AXIS.DEFENSIVE.TR3.B2.T2,12,2,2,"For the Fatherland available for purchase, granting powerful defensive bonuses to infantry in friendly territory. Recharging cooldown, 150 mu.",3
200,Tier 3 alpha (FP),OMGDOCUPG.AXIS.DEFENSIVE.TR3.B2.T3,12,2,3,Under development,1000
64,Indoctrination,OMGDOCUPG.AXIS.TERROR.TR1.B1.T1,13,1,1,"Volksgrenadiers and Sturmpioneers gain +5% accuracy and -5% received suppression per man lost, +5hp on first casualty, -10% cooldown for every extra loss. Pioneers and Saboteurs take 0.85 received suppression.",4
157,Heroes of the Wehrmacht,OMGDOCUPG.AXIS.TERROR.TR1.B1.T2,13,1,2,Knights Cross Holders and Terror Officers inspire nearby troops to fight better. They are 10% more accurate and receive 10% less damage.,6
231,Robotics,OMGDOCUPG.AXIS.TERROR.TR1.B1.T3,13,1,3,Goliaths gain line of sight.,2
158,Rain of Fire,OMGDOCUPG.AXIS.TERROR.TR1.B2.T2,13,3,2,"Hostile Infantry in the target area of Stuka and Nebelwerfer barrages may be slowed before the barrage hits. Nebelwerfer rockets now travel 50% faster, fire 33% faster, and have a 30% larger suppression radius. ",5
232,In the Name of the King,OMGDOCUPG.AXIS.TERROR.TR1.B2.T3,13,3,3,"Infantry within 30m of the King Tiger gain 20% increased accuracy. The KT can buy a crew repair kit (accelerates repairs, requires extra pios for maximum effect).",4
66,Snap Shooting,OMGDOCUPG.AXIS.TERROR.TR1.B3.T1,13,3,1,Snipers have 50% less setup time and gain 15% cooldown reduction.,2
159,Medical Reformation,OMGDOCUPG.AXIS.TERROR.TR2.B1.T2,14,2,2,Walking Wounded squads return to the field with 2 MP40s and Panzerfausts.,4
233,Tier 3 alpha KT,OMGDOCUPG.AXIS.TERROR.TR2.B1.T3,14,2,3,Regular Crits for KT,1000
68,Hunter Killers,OMGDOCUPG.AXIS.TERROR.TR2.B2.T1,14,2,1,Pioneers and Sturmpioneers may purchase Volksgrenadier Rifles for free.,1
160,Firestorm,OMGDOCUPG.AXIS.TERROR.TR2.B2.T2,14,3,2,Firestorm barrage now unlocked for purchase. 110 mu per use.,4
234,Tier 3 alpha,OMGDOCUPG.AXIS.TERROR.TR2.B2.T3,14,3,3,,1000
69,Perfectionism,OMGDOCUPG.AXIS.TERROR.TR2.B3.T1,14,3,1,"Pioneers and Sturmpioneers may now purchase Perfectionism Repairs, which repairs at 0.8 speed and 0.165 wear and tear.",3
161,Burst of Fury,OMGDOCUPG.AXIS.TERROR.TR3.B1.T2,15,2,2,"Inspired Assault ability now available for purchase, granting infantry powerful offensive bonuses while making them more vulnerable to incoming fire. Recharging cooldown, 85 mu.",2
235,Fanaticism,OMGDOCUPG.AXIS.TERROR.TR3.B1.T3,15,2,3,Dev Test: Inspired Assault reduces damage taken by 15% (secondary effect still being tested),10
71,Tracer Rounds,OMGDOCUPG.AXIS.TERROR.TR3.B2.T1,15,2,1,MG42s grant 1.1 received accuracy on the target they are firing on.,3
162,Propaganda Ministry,OMGDOCUPG.AXIS.TERROR.TR3.B2.T2,15,3,2,Propaganda Towers may now be built by Pioneers for 1 population. Propaganda Towers reduce accuracy by 15% and increase received suppression by 15% on nearby enemy infantry.,3
236,Tier 3 alpha,OMGDOCUPG.AXIS.TERROR.TR3.B2.T3,15,3,3,,1000
72,Fog of War,OMGDOCUPG.AXIS.TERROR.TR3.B3.T1,15,3,1,"Offmap ability which lowers LoS and Stealth Detection of all the squads within a circle for a short time. Recharging cooldown, 50 mu.",2
46,Release the Hounds,OMGDOCUPG.CMW.COMMANDO.TR1.B1.T1,34,1,1,Bren Gun Carriers now have an ability which adds +10 sight range and grants +18 stealth detection. SAS Jeeps receive half the bonus.,3
151,Disappearing Act,OMGDOCUPG.CMW.COMMANDO.TR1.B1.T2,34,1,2,"Concealing Smoke cloaks units 30% longer, but has 25% longer cooldown.",5
225,Commando Officers,OMGDOCUPG.CMW.COMMANDO.TR1.B1.T3,34,1,3,LTs and Captains gain Commando smoke on a 5 minute cooldown.,3
47,Packing Heat,OMGDOCUPG.CMW.COMMANDO.TR1.B2.T1,34,2,1,"Lieutenants and Captains may now purchase a PIAT for 50 Munitions, Commando Grenades for 40 Munitions, a Bren Gun for 20 Munitions, or a Boys AT Rifle for free.",3
152,Commando Fire Teams,OMGDOCUPG.CMW.COMMANDO.TR1.B2.T2,34,2,2,"PIAT Commandos may purchase a 4th squad member. They may also choose to swap their PIATs for 3 Bren Guns with a 20 MU refund, or 3 Boys AT Rifles and a 60 MU refund.",4
226,Commando Hospitals,OMGDOCUPG.CMW.COMMANDO.TR1.B2.T3,34,2,3,Gilder CCS is available for deployment.,4
49,Quick Reaction Force,OMGDOCUPG.CMW.COMMANDO.TR2.B1.T1,35,1,1,Pure Commando platoons now deploy 75% faster (including Polish Paras and gliders).,2
153,25 Pounder Artillery Barrage,OMGDOCUPG.CMW.COMMANDO.TR2.B1.T2,35,1,2,25 Pounder Artillery Barrage (80 mu per use) and Decoy Smoke (5 mu per use) now available for purchase.,3
227,Tier 3 alpha,OMGDOCUPG.CMW.COMMANDO.TR2.B1.T3,35,1,3,,1000
50,Glider Support,OMGDOCUPG.CMW.COMMANDO.TR2.B2.T1,35,2,1,Armor and Infantry Gliders are now available for use.,2
154,Glider Army,OMGDOCUPG.CMW.COMMANDO.TR2.B2.T2,35,2,2,Glider deployment timer reduced by half. Troops fireup for ten seconds after exiting gliders.,5
228,Tier 3 alpha,OMGDOCUPG.CMW.COMMANDO.TR2.B2.T3,35,2,3,,1000
52,Priority Targets,OMGDOCUPG.CMW.COMMANDO.TR3.B1.T1,36,1,1,Lieutenants and Captains are granted an ability which tracks enemy units in the fog of war.,2
155,Triangulation,OMGDOCUPG.CMW.COMMANDO.TR3.B1.T2,36,1,2,Radio Triangulation Devices now available for purchase. Can be placed by Sappers and Commandos. 120 mu. [Bugged],100
229,Tier 3 alpha,OMGDOCUPG.CMW.COMMANDO.TR3.B1.T3,36,1,3,,1000
53,Radio Disruption,OMGDOCUPG.CMW.COMMANDO.TR3.B2.T1,36,2,1,"Units within 7.5 unit radius of Radio Disruption offmap ability gain camouflage temporarily for 5 seconds, but weapons are disabled. Applies only to your own units. Recharging cooldown, 100 mu.",5
156,Proper Encryption,OMGDOCUPG.CMW.COMMANDO.TR3.B2.T2,36,2,2,"Proper Encryption ability now available for purchase. Blurs enemy minimap and tactical map and reduces enemy units' sight by five meters while active. Recharging cooldown, 80 mu.",4
230,Tier 3 alpha,OMGDOCUPG.CMW.COMMANDO.TR3.B2.T3,36,2,3,,1000
28,Mechanized Escorts,OMGDOCUPG.CMW.ENGINEERS.TR1.B1.T1,28,1,1,"Emplacement trucks have 50% higher speed, acceleration, and deceleration along with 20% more hitpoints. In addition, 25 Pounders and Bofors now have 35% more hitpoints and gain the Hunker Down ability.",1
139,Prepared Fighting Positions,OMGDOCUPG.CMW.ENGINEERS.TR1.B1.T2,28,1,2,"When in proper emplacements, Vickers Machine Gun and 3 Inch Mortars receive Lieutenant buff[BUGGED]. 17 Pounder Nests will provide Captain aura buff to the sector(working)",3
213,AVRE PIAT,OMGDOCUPG.CMW.ENGINEERS.TR1.B1.T3,28,1,3,"The AVRE gains a high penetration, low AoE anti-tank shell capable of doing significant damage.",3
29,I need drugs NOW!,OMGDOCUPG.CMW.ENGINEERS.TR1.B2.T1,28,2,1,Casualty Clearing Station have 30% less cooldown timer and +10 healing radius.,3
140,The Greatest Heroes,OMGDOCUPG.CMW.ENGINEERS.TR1.B2.T2,28,2,2,Captains gain the &quot;Heroic Sit and Shoot&quot; ability which makes all infantry near the captain fight harder while moving slowly.,3
214,Proactive Medics,OMGDOCUPG.CMW.ENGINEERS.TR1.B2.T3,28,2,3,CCS medics are replaced with active healing medics.,4
31,Behaving Like Officers,OMGDOCUPG.CMW.ENGINEERS.TR2.B1.T1,29,1,1,"Tank Commanders grant 15% increased experience gain. In addition, Churchills may now purchase the Tank Commander upgrade for 25 Munitions.",2
141,I Can See for Miiiiles Up Here,OMGDOCUPG.CMW.ENGINEERS.TR2.B1.T2,29,1,2,I Can See For Miles ability is given to all tanks with Tank Commanders. Grants line of sight to a selected area.,4
215,Tier 3 alpha,OMGDOCUPG.CMW.ENGINEERS.TR2.B1.T3,29,1,3,,1000
32,Speaking from the Pulpit,OMGDOCUPG.CMW.ENGINEERS.TR2.B2.T1,29,2,1,Cromwell Command Tanks now grant Lieutenant aura buff to infantry.,1
142,Maneuver Training,OMGDOCUPG.CMW.ENGINEERS.TR2.B2.T2,29,2,2,Firefly 17pdr's moving accuracy penalty is removed. Cromwell and Churchill 6pdrs' moving accuracy penalty is reduced to 0.75. All Churchills may buy mineplows.,4
216,Tier 3 alpha,OMGDOCUPG.CMW.ENGINEERS.TR2.B2.T3,29,2,3,,1000
34,Hulldown,OMGDOCUPG.CMW.ENGINEERS.TR3.B1.T1,30,1,1,"British Armor gains the Hulldown ability, which disables movement but grants 0.75 received penetration and 0.75 received damage.",3
143,Armor Ingenuity,OMGDOCUPG.CMW.ENGINEERS.TR3.B1.T2,30,1,2,"AVRE turret rotation, acceleration, and max speed increased by 30%. Flame-Stuarts gain +5 range.",3
217,Infantry Fighting Vehicle,OMGDOCUPG.CMW.ENGINEERS.TR3.B1.T3,30,1,3,Tommies and Sappers grant nearby Tanks -1% received penetration and accuracy per man. Tank Shock grants nearby troops -10% rec. accuracy.,4
35,Now This is a Big Sodding Gun,OMGDOCUPG.CMW.ENGINEERS.TR3.B2.T1,30,2,1,Sappers may now purchase Rifle Grenades and Bren Guns. (Clearing charges will be available with demos with a coming patch),1
144,Golden Wrenches,OMGDOCUPG.CMW.ENGINEERS.TR3.B2.T2,30,2,2,Sappers gain Golden Wrenches ability which instantly restores 100 health on tanks.,5
218,Tier 3 alpha,OMGDOCUPG.CMW.ENGINEERS.TR3.B2.T3,30,2,3,,1000
37,Rifled Barrels,OMGDOCUPG.CMW.RCA.TR1.B1.T1,31,1,1,"25 Pounders, Priests, and Supercharged 3 Inch Mortars have 15% less scatter and 15% more accuracy.",3
145,Supercharged Shells,OMGDOCUPG.CMW.RCA.TR1.B1.T2,31,1,2,"Supercharge upgrade available on Mortars, Priests, and 25 Pounders.",5
219,Has been moved,OMGDOCUPG.CMW.RCA.TR1.B1.T3,31,1,3,Artillery Overwatch is being tested here. It is remarkably difficult to get to work.,25
38,Cancer Causing,OMGDOCUPG.CMW.RCA.TR1.B2.T1,31,2,1,"[No longer purchaseable. Will be replaced] ",100
146,Creeping Barrage,OMGDOCUPG.CMW.RCA.TR1.B2.T2,31,2,2,Creeping Barrage ability available for purchase. 90 mu per use. Cromwell Command Tanks are also given 1 use of Creeping Smoke Barrage.,4
220,Observational Capacity,OMGDOCUPG.CMW.RCA.TR1.B2.T3,31,2,3,Captains and LTs can lockdown to gain +15 LOS.,3
40,General Hospital,OMGDOCUPG.CMW.RCA.TR2.B1.T1,32,1,1,Casualty Clearing Stations now grant Lieutenant aura buff.,1
147,Advanced Sighting,OMGDOCUPG.CMW.RCA.TR2.B1.T2,32,1,2,"HMG teams, Bofors, and 17 pounders which are stationary for 10 seconds or longer gain 15% more sight, 35% more stealth detection, and 10% more accuracy.",4
221,Tier 3 alpha,OMGDOCUPG.CMW.RCA.TR2.B1.T3,32,1,3,,1000
41,Ross Rifles,OMGDOCUPG.CMW.RCA.TR2.B2.T1,32,2,1,"Recon Sections now have +5 weapon range, as well as +10% accuracy (not stacking with LT aura).",3
148,Grit and Determination,OMGDOCUPG.CMW.RCA.TR2.B2.T2,32,2,2,Grit and Determination now usable by Tommies and SSF. Ability breaks suppression and reduces weapon cooldown by 50%. Can only be used while garrisoned.,1
222,Tier 3 alpha,OMGDOCUPG.CMW.RCA.TR2.B2.T3,32,2,3,,1000
43,High Velocity Ammo,OMGDOCUPG.CMW.RCA.TR3.B1.T1,33,1,1,Stuarts and Staghounds now have +5 weapon range on their cannons. Does not stack with the range bonus from command tanks.,3
149,Armored Discipline,OMGDOCUPG.CMW.RCA.TR3.B1.T2,33,1,2,Tank Commanders increase accuracy by 10%. Flank Speed increases penetration by 50%.,6
223,Tier 3 alpha,OMGDOCUPG.CMW.RCA.TR3.B1.T3,33,1,3,,1000
